Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,96.529999,97.070000,96.080002,97.059998,97.059998,5875800
2019-01-29,96.769997,97.160004,96.510002,96.709999,96.709999,5253400
2019-01-30,96.680000,96.800003,94.260002,94.800003,94.800003,11849300
2019-01-31,94.629997,96.870003,94.629997,95.830002,95.830002,14723000
2019-02-01,95.919998,96.000000,93.110001,93.860001,93.860001,12591900
2019-02-04,93.860001,94.769997,93.349998,94.769997,94.769997,7268600
2019-02-05,95.250000,95.940002,95.019997,95.599998,95.599998,6099900
2019-02-06,95.430000,96.010002,95.220001,95.639999,95.639999,4264900
2019-02-07,95.110001,96.820000,95.000000,96.730003,96.730003,7010100
2019-02-08,96.339996,96.690002,95.139999,95.580002,95.580002,6169200
2019-02-11,95.650002,96.349998,95.639999,96.199997,96.199997,5542800
2019-02-12,96.820000,97.169998,96.500000,96.970001,96.970001,5881300
2019-02-13,97.300003,98.000000,97.089996,97.940002,97.940002,5458500
2019-02-14,97.680000,99.199997,97.019997,98.519997,98.519997,7200800
2019-02-15,98.980003,100.000000,98.860001,99.989998,99.989998,9481000
2019-02-19,102.379997,104.180000,102.070000,102.199997,102.199997,20697300
2019-02-20,101.809998,102.339996,98.650002,99.879997,99.879997,17631800
2019-02-21,99.660004,99.919998,98.910004,99.389999,99.389999,6413200
2019-02-22,99.820000,100.160004,99.139999,99.550003,99.550003,8086900
2019-02-25,100.120003,100.129997,99.050003,99.120003,99.120003,9235000
2019-02-26,99.019997,99.059998,97.870003,98.690002,98.690002,8488100
2019-02-27,98.120003,98.389999,97.589996,98.110001,98.110001,7901600
2019-02-28,98.110001,99.459999,97.769997,98.879997,98.879997,5124281
