Date,Open,High,Low,Close,Adj Close,Volume
2010-02-24,22.202000,22.311001,21.900000,22.174999,18.960802,15190000
2010-02-25,21.955000,22.315001,21.643000,22.149000,18.938570,19896000
2010-02-26,22.298000,22.514000,22.106001,22.437000,19.184820,10947000
2010-03-01,22.594000,23.285999,22.538000,23.274000,19.900505,24265000
2010-03-02,23.229000,23.353001,22.907000,23.181000,19.820974,13247000
2010-03-03,23.183001,23.448999,23.100000,23.215000,19.850050,13620000
2010-03-04,23.173000,23.346001,22.982000,23.299999,19.922739,10161000
2010-03-05,23.365999,23.980000,23.271000,23.954000,20.481936,32910000
2010-03-08,23.909000,24.708000,23.839001,24.561001,21.000956,29561000
2010-03-09,24.504999,25.188999,24.466000,24.648001,21.075342,21849000
2010-03-10,24.709999,25.049999,24.608000,24.959999,21.342117,19561000
2010-03-11,24.805000,25.049999,24.614000,25.018999,21.392561,11508000
2010-03-12,25.106001,25.177000,24.853001,24.997000,21.373755,8736000
2010-03-15,25.098000,25.098000,24.594999,25.007999,21.383162,11262000
2010-03-16,25.025000,25.129999,24.691999,24.934000,21.319887,9672000
2010-03-17,24.968000,25.100000,24.680000,24.865000,21.260889,11144000
2010-03-18,24.882999,24.882999,24.462000,24.629999,21.059958,7593000
2010-03-19,24.436001,24.808001,24.254999,24.436001,20.894075,9801000
2010-03-22,24.278999,24.823999,24.225000,24.708000,21.126646,8089000
2010-03-23,24.707001,25.065001,24.438000,24.559000,20.999239,11016000
2010-03-24,24.520000,24.688000,24.395000,24.468000,20.921436,7700000
2010-03-25,24.643999,25.028999,24.608999,24.608999,21.041992,13145000
2010-03-26,24.725000,24.875000,24.507000,24.624001,21.054825,10836000
2010-03-29,24.693001,24.924000,24.660999,24.801001,21.206161,7287000
2010-03-30,24.923000,25.382999,24.920000,25.240999,21.582392,12046000
2010-03-31,25.219999,25.427999,25.142000,25.400000,21.718349,9333000
2010-04-01,25.555000,25.589001,25.205999,25.393999,21.713213,11188000
2010-04-05,25.452999,25.627001,25.287001,25.558001,21.853445,7457000
2010-04-06,25.485001,26.100000,25.480000,25.875000,22.124491,13992000
2010-04-07,25.889999,25.955000,25.490999,25.566000,21.987745,7831000
2010-04-08,25.406000,25.730000,25.406000,25.688000,22.092676,6402000
2010-04-09,25.875000,25.999001,25.681999,25.888000,22.264685,4966000
2010-04-12,25.830999,26.100000,25.827999,25.957001,22.324018,6537000
2010-04-13,25.870001,26.054001,25.721001,25.850000,22.231997,7131000
2010-04-14,25.907000,26.423000,25.801001,26.313000,22.630196,11661000
2010-04-15,26.459999,26.466000,26.225000,26.263000,22.587193,6282000
2010-04-16,26.103001,26.372000,25.826000,25.950001,22.318001,11495000
2010-04-19,25.882999,26.153000,25.472000,25.730000,22.128792,9559000
2010-04-20,25.895000,26.288000,25.716999,26.139000,22.480549,7375000
2010-04-21,26.334999,26.334999,25.878000,26.059000,22.411743,5035000
2010-04-22,25.879999,26.252001,25.201000,26.160000,22.498608,8638000
2010-04-23,26.361000,26.757999,26.200001,26.722000,22.981947,10379000
2010-04-26,26.816000,26.922001,26.568001,26.577999,22.858101,7095000
2010-04-27,26.579000,26.579000,25.483999,25.485001,21.918083,10947000
2010-04-28,25.653999,25.730000,25.058001,25.299999,21.758978,17995000
2010-04-29,25.372000,25.844000,25.179001,25.538000,21.963663,14089000
2010-04-30,25.721001,25.740000,24.599001,24.804001,21.332394,16675000
2010-05-03,25.118999,25.139000,24.454000,25.073999,21.564608,16928000
2010-05-04,25.337000,25.743999,24.830999,25.125000,21.608473,29370000
2010-05-05,24.799999,24.899000,23.601000,23.794001,20.463762,25627000
2010-05-06,23.541000,23.799000,21.100000,23.030001,19.806683,34273000
2010-05-07,22.834999,23.398001,22.204000,22.309000,19.186594,29304000
2010-05-10,23.399000,23.612000,22.833000,23.031000,19.807550,29826000
2010-05-11,22.740999,22.749001,22.124001,22.323999,19.199503,29271000
2010-05-12,22.500000,23.622000,22.459000,23.261999,20.006222,29123000
2010-05-13,23.270000,23.992001,23.056000,23.231001,19.979555,22049000
2010-05-14,21.530001,22.002001,20.907000,21.245001,18.271523,101983000
2010-05-17,21.524000,21.667000,20.819000,21.080999,18.130476,34138000
2010-05-18,21.294001,21.462000,19.558001,20.281000,17.442448,70828000
2010-05-19,20.305000,21.325001,19.605000,20.245001,17.411486,91584000
