Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,50.320000,51.290001,50.240002,50.639999,50.639999,24457600
2019-01-29,50.490002,50.840000,49.340000,49.400002,49.400002,26266600
2019-01-30,49.680000,50.869999,49.209999,50.169998,50.169998,18124100
2019-01-31,51.200001,51.279999,49.099998,49.520000,49.520000,24736300
2019-02-01,49.580002,50.279999,49.400002,49.610001,49.610001,15533200
2019-02-04,49.709999,49.799999,49.470001,49.689999,49.689999,10880000
2019-02-05,49.730000,51.080002,49.720001,50.730000,50.730000,15454200
2019-02-06,50.939999,51.639999,50.930000,51.099998,51.099998,11052900
2019-02-07,50.830002,51.119999,50.270000,50.549999,50.549999,10623300
2019-02-08,50.240002,50.680000,49.910000,50.290001,50.290001,12461200
2019-02-11,50.549999,51.299999,50.380001,50.830002,50.830002,9971800
2019-02-12,51.299999,52.180000,51.020000,51.660000,51.660000,16637600
2019-02-13,52.000000,52.490002,51.560001,51.590000,51.590000,11004000
2019-02-14,51.500000,51.770000,51.090000,51.570000,51.570000,17895000
2019-02-15,52.080002,52.360001,51.599998,51.980000,51.980000,12239500
2019-02-19,52.000000,52.480000,51.750000,52.009998,52.009998,8258400
2019-02-20,52.250000,52.919998,52.139999,52.450001,52.450001,12863700
2019-02-21,52.500000,52.590000,51.900002,52.349998,52.349998,7826200
2019-02-22,52.689999,53.150002,52.639999,53.119999,53.119999,13394500
2019-02-25,53.779999,53.970001,52.900002,52.990002,52.990002,15341700
2019-02-26,53.080002,53.220001,52.279999,53.029999,53.029999,11366700
2019-02-27,52.950001,53.130001,52.270000,53.040001,53.040001,10424400
2019-02-28,53.000000,53.730000,52.709999,53.695000,53.695000,5413736
