Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,101.879997,104.129997,101.760002,102.680000,101.899895,7292700
2019-01-29,102.860001,103.470001,101.309998,101.349998,100.579994,6153100
2019-01-30,101.680000,102.629997,100.180000,102.139999,102.139999,6430200
2019-01-31,101.019997,101.790001,100.169998,100.680000,100.680000,8272300
2019-02-01,100.550003,102.059998,100.260002,101.989998,101.989998,5615000
2019-02-04,101.980003,102.339996,101.070000,101.800003,101.800003,5761200
2019-02-05,102.209999,102.400002,100.980003,102.320000,102.320000,6372200
2019-02-06,104.260002,106.889999,104.050003,106.480003,106.480003,9907800
2019-02-07,105.099998,105.580002,103.139999,103.860001,103.860001,7045700
2019-02-08,102.449997,104.809998,102.139999,104.550003,104.550003,5392400
2019-02-11,104.709999,105.449997,104.250000,104.760002,104.760002,4553000
2019-02-12,105.930000,106.580002,105.750000,106.440002,106.440002,5316800
2019-02-13,106.790001,108.120003,106.660004,107.150002,107.150002,5965200
2019-02-14,106.779999,108.389999,106.430000,106.970001,106.970001,3438800
2019-02-15,107.830002,107.870003,106.690002,107.570000,107.570000,3604300
2019-02-19,107.110001,107.889999,106.610001,107.279999,107.279999,3188000
2019-02-20,107.720001,108.459999,107.239998,107.940002,107.940002,3692800
2019-02-21,106.970001,107.750000,106.199997,106.639999,106.639999,3933500
2019-02-22,107.900002,108.379997,106.650002,107.309998,107.309998,4392900
2019-02-25,109.000000,109.489998,107.830002,108.190002,108.190002,5750200
2019-02-26,108.150002,108.169998,106.830002,107.269997,107.269997,3740100
2019-02-27,106.419998,106.419998,104.709999,105.709999,105.709999,4395800
2019-02-28,105.180000,105.834999,104.809998,105.720001,105.720001,1742865
